#SRC:M87,DATE(MJD):58230,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
01.54861110,AA,MG,1873907456.0000,-4620659200.0000,0.19284240,-3.1466,0.00611284
01.54861110,AX,MG,1873475840.0000,-4619085312.0000,0.19546877,10.2641,0.07261579
01.55416667,AA,AX,582080.8750,-1546758.3750,1.12260224,-0.8782,0.01302250
01.55416667,AA,MG,1877277184.0000,-4620059136.0000,0.19621827,-0.2281,0.00699141
01.55416667,AX,MG,1876737920.0000,-4618504704.0000,0.21153676,-8.3833,0.06649638
01.55694437,AA,MG,1878832768.0000,-4619781120.0000,0.20703366,3.5855,0.00721126
01.55694437,AX,MG,1878306944.0000,-4618224640.0000,0.21765011,-13.8532,0.06121301
01.55972224,AA,AX,581196.8125,-1546564.1250,1.12282627,-0.3249,0.00444506
01.55972224,AX,MG,1879954304.0000,-4617930240.0000,0.17772016,-1.5745,0.07868192
01.56249994,AA,AX,580778.4375,-1546472.3750,1.12267673,0.7158,0.00459338
01.56249994,AA,MG,1882270976.0000,-4619165696.0000,0.20348872,0.7128,0.00805872
01.56249994,AX,MG,1881616896.0000,-4617632256.0000,0.21334915,5.7443,0.05535081
01.56527781,AA,AX,580366.6875,-1546382.2500,1.12286925,0.4722,0.00448734
01.56527781,AA,MG,1883769984.0000,-4618896896.0000,0.20461371,-1.9067,0.00652625
01.56805551,AA,AX,579977.3750,-1546297.1250,1.12294907,0.5130,0.00509397
01.56805551,AA,MG,1885409920.0000,-4618602496.0000,0.20274570,-1.7900,0.00656856
01.56805551,AX,MG,1884903296.0000,-4617042944.0000,0.21024221,13.4099,0.05968478
01.57083338,AA,AX,579527.6250,-1546199.0000,1.12316959,-0.0488,0.00614036
01.57083338,AA,MG,1887026176.0000,-4618311680.0000,0.18590485,-5.9871,0.00595509
01.57083338,AX,MG,1886474240.0000,-4616760320.0000,0.17882422,15.8983,0.06703729
01.57361108,AA,AX,579112.8125,-1546108.5000,1.12311120,-2.1179,0.00487678
01.57361108,AA,MG,1888702976.0000,-4618009600.0000,0.21577568,3.4643,0.00664801
01.57361108,AX,MG,1888044800.0000,-4616477696.0000,0.21446982,-5.4803,0.06059825
01.57638896,AA,AX,578710.7500,-1546021.0000,1.12266304,-0.8569,0.00489442
01.57916665,AA,AX,578286.0000,-1545928.7500,1.12259154,0.9452,0.00466072
01.57916665,AA,MG,1891911808.0000,-4617430016.0000,0.20140846,2.0708,0.00673757
01.57916665,AX,MG,1891322624.0000,-4615886336.0000,0.19301168,-6.3113,0.06382952
01.58194453,AX,MG,1892901376.0000,-4615600640.0000,0.24188140,-17.6639,0.05575695
01.58472222,AA,AX,577456.5000,-1545748.8750,1.12306101,0.3062,0.00491209
